comp,model,split,fold,n_train,n_val,accuracy,precision,recall,f1,auc_roc
style_robust,SVM,stratified,5,960,240,0.9833,1.0,0.9667,0.9831,0.9993
style_robust,LR,grouped,1,960,240,0.9667,0.9667,0.9667,0.9667,0.9917
style_robust,SVM,grouped,1,960,240,0.975,0.975,0.975,0.975,0.9919
style_robust,LR,grouped,2,960,240,0.9708,0.9829,0.9583,0.9705,0.9963
style_robust,SVM,grouped,2,960,240,0.9792,0.9915,0.9667,0.9789,0.9991
style_robust,LR,grouped,3,960,240,0.9542,0.958,0.95,0.954,0.9929
style_robust,SVM,grouped,3,960,240,0.9792,0.9832,0.975,0.9791,0.9978
style_robust,LR,grouped,4,960,240,0.9667,0.9828,0.95,0.9661,0.9892
style_robust,SVM,grouped,4,960,240,0.975,0.9914,0.9583,0.9746,0.9941
style_robust,LR,grouped,5,960,240,0.975,0.9914,0.9583,0.9746,0.9962
style_robust,SVM,grouped,5,960,240,0.9833,1.0,0.9667,0.9831,0.9983
synthetic_25pct,LR,stratified,1,800,200,0.82,0.8902,0.73,0.8022,0.8285
synthetic_25pct,SVM,stratified,1,800,200,0.78,0.8182,0.72,0.766,0.8601
synthetic_25pct,LR,stratified,2,800,200,0.745,0.7692,0.7,0.733,0.7867
synthetic_25pct,SVM,stratified,2,800,200,0.725,0.7419,0.69,0.715,0.8059
synthetic_25pct,LR,stratified,3,800,200,0.745,0.7692,0.7,0.733,0.7798
synthetic_25pct,SVM,stratified,3,800,200,0.72,0.7391,0.68,0.7083,0.7849
synthetic_25pct,LR,stratified,4,800,200,0.815,0.8247,0.8,0.8122,0.8367
synthetic_25pct,SVM,stratified,4,800,200,0.77,0.77,0.77,0.77,0.8317
synthetic_25pct,LR,stratified,5,800,200,0.77,0.8068,0.71,0.7553,0.8194
synthetic_25pct,SVM,stratified,5,800,200,0.75,0.7717,0.71,0.7396,0.8219
synthetic_25pct,LR,grouped,1,800,200,0.865,0.9867,0.74,0.8457,0.889
synthetic_25pct,SVM,grouped,1,800,200,0.85,0.9861,0.71,0.8256,0.8738
synthetic_25pct,LR,grouped,2,800,200,0.84,0.9359,0.73,0.8202,0.8727
synthetic_25pct,SVM,grouped,2,800,200,0.85,1.0,0.7,0.8235,0.8636
